Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Norm Nixon,25,LAL,0.0,5.0,690,0.007,79,37.5,17.1,2.9,8.8,1.8,0.1,.476,.167,.778,5.5,.089
Artis Gilmore,31,CHI,0.0,4.0,690,0.006,82,34.5,17.9,10.1,2.1,0.6,2.4,.670,,.705,12.3,.208
Bob Lanier,32,MIL,0.0,4.0,690,0.006,67,26.2,14.3,6.2,2.7,1.1,1.2,.525,1.000,.751,6.8,.185
Michael Cooper,24,LAL,0.0,3.0,690,0.004,81,32.4,9.4,4.1,4.1,1.6,1.0,.491,.211,.785,5.0,.092
Walter Davis,26,PHO,0.0,3.0,690,0.004,78,28.0,18.0,2.6,3.9,1.2,0.2,.539,.412,.836,7.1,.157
George Johnson,32,SAS,0.0,3.0,690,0.004,82,23.6,5.0,7.3,1.1,0.6,3.4,.473,,.734,4.5,.112
Bobby Jones,29,PHI,0.0,3.0,690,0.004,81,25.3,13.5,5.4,2.8,1.2,0.9,.539,.000,.813,9.2,.217
Mike Mitchell,25,CLE,0.0,3.0,690,0.004,82,39.0,24.5,6.1,1.7,0.8,0.6,.476,.444,.784,6.0,.091
James Silas,31,SAS,0.0,3.0,690,0.004,75,27.4,17.7,3.1,3.8,0.7,0.2,.477,.000,.850,7.0,.164
Quinn Buckner,26,MIL,0.0,1.0,690,0.001,82,29.1,13.3,3.6,4.7,2.4,0.0,.493,.167,.734,5.4,.108
Caldwell Jones,30,PHI,0.0,1.0,690,0.001,81,32.6,7.2,10.0,1.5,0.7,1.7,.449,,.767,5.5,.100
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Darrell Griffith,22,UTA,19.0,19.0,69,0.275,81,35.4,20.6,3.6,2.4,1.3,0.5,.464,.192,.716,0.4,.006
Kelvin Ransey,22,POR,18.0,18.0,69,0.261,80,30.4,15.2,2.4,6.9,1.1,0.1,.452,.097,.749,2.8,.056
Larry Smith,23,GSW,14.0,14.0,69,0.203,82,31.4,9.6,12.1,1.1,0.9,0.8,.512,,.588,6.1,.113
Kevin McHale,23,BOS,11.0,11.0,69,0.159,82,20.1,10.0,4.4,0.7,0.3,1.8,.533,.000,.679,4.7,.137
Joe Barry Carroll,22,GSW,3.0,3.0,69,0.043,82,35.6,18.9,9.3,1.4,0.6,1.5,.491,.000,.716,5.7,.094
Michael Brooks,22,SDC,2.0,2.0,69,0.029,82,30.2,14.7,5.4,2.5,1.2,0.4,.479,.000,.706,4.9,.095
Mike O'Koren,22,NJN,1.0,1.0,69,0.014,79,31.3,11.0,6.1,3.2,1.1,0.3,.486,.278,.637,3.8,.075
Andrew Toney,23,PHI,1.0,1.0,69,0.014,75,23.6,12.9,1.9,3.6,0.8,0.1,.495,.310,.712,2.2,.061
