Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,W/L%
Ray Spalding,C,23,HOU,2,19,2,4,0.5,0,1,0.0,2,3,0.667,0.5,0,2,0.0,2,2,4,0,0,2,3,3,4,0.9,0.41,0.25,0.5,10.7,11.7,11.2,0.0,0.0,9.4,38.1,17.7,-0.1,0.0,-0.1,-0.17,-8.9,-1.4,-10.4,0.0,2021,0.289
Cassius Stanley,SG,21,IND,12,33,4,15,0.267,1,5,0.2,3,10,0.3,0.3,4,5,0.8,4,4,8,0,0,2,1,8,13,5.0,0.378,0.333,0.333,13.5,13.6,13.5,0.0,0.0,5.2,5.5,23.8,-0.1,0.0,0.0,-0.053,-8.1,-3.9,-12.0,-0.1,2021,0.477
Lamar Stevens,PF,23,CLE,31,414,53,117,0.453,3,20,0.15,50,97,0.515,0.466,31,44,0.705,20,64,84,24,15,10,17,44,140,11.3,0.513,0.171,0.376,5.3,17.8,11.3,8.6,1.8,2.2,11.1,16.0,0.1,0.4,0.5,0.061,-3.7,0.3,-3.4,-0.1,2021,0.37
Isaiah Stewart,C,19,DET,43,810,117,204,0.574,7,17,0.412,110,187,0.588,0.591,28,42,0.667,97,154,251,32,23,43,38,103,269,15.8,0.605,0.083,0.206,13.1,21.7,17.3,6.2,1.4,4.7,14.6,14.0,1.1,1.1,2.2,0.13,-1.7,0.4,-1.3,0.1,2021,0.267
Max Strus,SF,24,MIA,24,331,57,122,0.467,35,98,0.357,22,24,0.917,0.611,11,16,0.688,3,22,25,12,5,0,4,28,160,12.4,0.62,0.803,0.131,1.0,7.1,4.2,5.8,0.7,0.0,3.0,18.0,0.5,0.2,0.7,0.098,0.6,-1.5,-0.8,0.1,2021,0.478
Edmond Sumner,SG,25,IND,31,375,62,123,0.504,19,48,0.396,43,75,0.573,0.581,28,35,0.8,12,32,44,17,16,3,24,41,171,12.2,0.618,0.39,0.285,3.6,9.6,6.6,6.4,2.0,0.7,14.8,18.7,0.2,0.3,0.6,0.071,-2.3,-0.3,-2.5,0.0,2021,0.477
Jae'Sean Tate,SF,25,HOU,45,1284,186,358,0.52,33,104,0.317,153,254,0.602,0.566,60,85,0.706,87,157,244,84,52,27,52,141,465,13.6,0.588,0.291,0.237,6.9,13.6,10.1,9.9,1.9,1.9,11.6,14.9,1.5,1.4,2.9,0.109,-1.9,0.6,-1.3,0.2,2021,0.289
Jayson Tatum,SF,22,BOS,40,1421,368,818,0.45,110,290,0.379,258,528,0.489,0.517,156,181,0.862,27,244,271,175,52,19,98,77,1002,20.3,0.558,0.355,0.221,2.1,19.3,10.6,20.4,1.8,1.3,9.8,30.2,2.2,1.4,3.6,0.12,3.7,-0.5,3.3,1.9,2021,0.5
Jeff Teague,PG,32,BOS,34,616,78,188,0.415,26,56,0.464,52,132,0.394,0.484,51,61,0.836,10,47,57,73,26,7,39,43,233,11.6,0.542,0.298,0.324,1.8,8.6,5.2,16.1,2.1,1.1,15.4,17.8,0.3,0.5,0.8,0.06,-2.4,-0.2,-2.5,-0.1,2021,0.5
Garrett Temple,SG,34,CHI,36,1000,112,264,0.424,46,137,0.336,66,127,0.52,0.511,31,38,0.816,21,92,113,73,33,18,35,83,301,9.2,0.536,0.519,0.144,2.4,10.0,6.2,9.5,1.6,1.5,11.1,13.5,0.3,0.9,1.3,0.062,-2.9,-0.1,-3.0,-0.3,2021,0.432
Tyrell Terry,PG,20,DAL,11,56,5,16,0.313,0,7,0.0,5,9,0.556,0.313,1,3,0.333,0,6,6,6,5,0,2,2,11,6.0,0.318,0.438,0.188,0.0,11.5,5.9,14.2,4.4,0.0,10.4,15.3,-0.1,0.1,-0.1,-0.056,-7.7,2.2,-5.5,-0.1,2021,0.523
