Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Chucky Atkins,PG,27,79,2285,368,790,0.466,138,336,0.411,230,454,0.507,0.553,83,120,0.692,31,127,158,263,72,11,128,177,957,OOR,2002
Stacey Augmon,SG,33,77,1319,140,328,0.427,0,3,0.0,140,325,0.431,0.427,77,101,0.762,59,166,225,103,56,12,54,115,357,OOR,2002
Isaac Austin,C,32,21,307,36,92,0.391,0,3,0.0,36,89,0.404,0.391,4,4,1.0,11,60,71,13,9,5,11,36,76,OOR,2002
William Avery,PG,22,28,258,26,90,0.289,6,35,0.171,20,55,0.364,0.322,13,19,0.684,4,20,24,36,7,0,19,17,71,OOR,2002
Dalibor Bagarić,C,21,50,638,72,178,0.404,0,1,0.0,72,177,0.407,0.404,41,70,0.586,55,107,162,23,17,24,46,108,185,OOR,2002
Vin Baker,C,30,55,1710,315,649,0.485,1,8,0.125,314,641,0.49,0.486,143,226,0.633,168,182,350,72,22,36,127,197,774,OOR,2002
Erick Barkley,PG,23,19,228,24,68,0.353,1,7,0.143,23,61,0.377,0.36,9,10,0.9,5,13,18,34,17,1,12,29,58,OOR,2002
Dana Barros,PG,34,29,582,74,192,0.385,24,71,0.338,50,121,0.413,0.448,21,27,0.778,1,56,57,78,14,2,33,37,193,OOR,2002
Brent Barry,SG,30,81,3040,401,790,0.508,164,387,0.424,237,403,0.588,0.611,198,234,0.846,58,383,441,426,147,37,165,182,1164,OOR,2002
Jon Barry,SG,32,82,1985,255,522,0.489,121,258,0.469,134,264,0.508,0.604,108,116,0.931,42,192,234,274,94,20,111,134,739,OOR,2002
Mengke Bateer,C,26,27,408,53,132,0.402,4,12,0.333,49,120,0.408,0.417,29,37,0.784,32,64,96,22,10,5,32,94,139,OOR,2002
Tony Battie,C,25,74,1819,211,390,0.541,0,2,0.0,211,388,0.544,0.541,88,130,0.677,184,297,481,35,60,67,51,219,510,OOR,2002
Shane Battier,SF,23,78,3097,412,961,0.429,103,276,0.373,309,685,0.451,0.482,198,283,0.7,180,238,418,216,121,81,155,215,1125,OOR,2002
Charlie Bell,SG,22,7,44,3,11,0.273,0,6,0.0,3,5,0.6,0.273,2,2,1.0,2,3,5,2,0,0,5,3,8,OOR,2002
Raja Bell,SG,25,74,890,103,240,0.429,12,44,0.273,91,196,0.464,0.454,36,48,0.75,31,80,111,71,21,4,48,109,254,OOR,2002
Jonathan Bender,SF,21,78,1647,198,460,0.43,45,125,0.36,153,335,0.457,0.479,140,181,0.773,64,180,244,62,19,49,96,147,581,OOR,2002
Travis Best,PG,29,74,1747,228,518,0.44,21,59,0.356,207,459,0.451,0.46,104,116,0.897,20,131,151,324,89,7,99,173,581,OOR,2002
Mike Bibby,PG,23,80,2659,446,985,0.453,51,138,0.37,395,847,0.466,0.479,155,193,0.803,37,185,222,403,87,15,134,133,1098,OOR,2002
Chauncey Billups,PG,25,82,2355,348,823,0.423,124,315,0.394,224,508,0.441,0.498,207,234,0.885,35,191,226,450,66,17,138,169,1027,OOR,2002
Mookie Blaylock,PG,34,35,599,50,146,0.342,15,42,0.357,35,104,0.337,0.394,4,8,0.5,8,44,52,114,24,4,37,20,119,OOR,2002
Corie Blount,PF,33,72,1426,115,251,0.458,0,1,0.0,115,250,0.46,0.458,29,45,0.644,149,219,368,44,49,26,52,176,259,OOR,2002
Mark Blount,C,26,44,415,32,76,0.421,0,0,0.0,32,76,0.421,0.421,30,37,0.811,26,59,85,10,16,19,23,59,94,OOR,2002
Calvin Booth,C,25,15,279,35,82,0.427,0,0,0.0,35,82,0.427,0.427,23,24,0.958,20,34,54,16,6,13,16,47,93,OOR,2002
Ruben Boumtje-Boumtje,C,23,33,245,13,32,0.406,0,0,0.0,13,32,0.406,0.406,13,25,0.52,21,34,55,4,3,16,14,38,39,OOR,2002
Cal Bowdler,PF,24,52,585,61,174,0.351,1,5,0.2,60,169,0.355,0.353,39,47,0.83,38,72,110,11,18,15,11,64,162,OOR,2002
Bruce Bowen,SF,30,59,1699,155,398,0.389,56,148,0.378,99,250,0.396,0.46,46,96,0.479,42,120,162,88,62,25,66,116,412,OOR,2002
Ryan Bowen,SF,26,75,1686,147,307,0.479,1,12,0.083,146,295,0.495,0.48,69,92,0.75,134,165,299,52,75,41,41,171,364,OOR,2002
Ira Bowman,SG,28,3,29,5,7,0.714,0,1,0.0,5,6,0.833,0.714,0,0,0.0,0,1,1,1,2,0,0,3,10,OOR,2002
Earl Boykins,PG,25,68,761,110,275,0.4,13,42,0.31,97,233,0.416,0.424,47,61,0.77,27,27,54,145,20,2,44,44,280,OOR,2002
Michael Bradley,PF,22,26,118,13,25,0.52,0,2,0.0,13,23,0.565,0.52,4,8,0.5,7,17,24,3,0,6,6,10,30,OOR,2002
Shawn Bradley,C,29,53,757,78,163,0.479,0,1,0.0,78,162,0.481,0.479,59,64,0.922,53,123,176,20,28,64,25,128,215,OOR,2002
Elton Brand,PF,22,80,3020,532,1010,0.527,0,0,0.0,532,1010,0.527,0.527,389,524,0.742,396,529,925,191,80,163,173,254,1453,OOR,2002
Terrell Brandon,PG,31,32,962,155,365,0.425,4,23,0.174,151,342,0.442,0.43,83,84,0.988,17,76,93,264,52,6,43,49,397,OOR,2002
Jamison Brewer,SG,21,13,43,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,0.0,2,6,8,9,2,0,3,3,4,OOR,2002
Primož Brezec,C,22,22,160,14,29,0.483,0,0,0.0,14,29,0.483,0.483,15,25,0.6,16,12,28,6,0,7,6,28,43,OOR,2002
Chucky Brown,SF,33,18,92,10,27,0.37,0,0,0.0,10,27,0.37,0.37,1,2,0.5,10,23,33,6,2,4,5,12,21,OOR,2002
Damone Brown,SF,22,17,67,8,21,0.381,0,1,0.0,8,20,0.4,0.381,7,8,0.875,2,2,4,2,1,1,9,11,23,OOR,2002
Dee Brown,PG,33,7,65,3,20,0.15,1,12,0.083,2,8,0.25,0.175,0,0,0.0,0,9,9,2,3,1,4,4,7,OOR,2002
Ernest Brown,C,22,3,21,1,6,0.167,0,0,0.0,1,6,0.167,0.167,1,4,0.25,1,5,6,0,0,1,3,4,3,OOR,2002
Kedrick Brown,SF,20,29,245,23,70,0.329,5,27,0.185,18,43,0.419,0.364,12,20,0.6,11,39,50,15,18,7,7,18,63,OOR,2002
Kwame Brown,PF,19,57,817,94,243,0.387,0,1,0.0,94,242,0.388,0.387,70,99,0.707,63,135,198,43,16,26,43,105,258,OOR,2002
P.J. Brown,C,32,80,2563,250,527,0.474,0,0,0.0,250,527,0.474,0.474,169,197,0.858,273,513,786,107,59,78,85,222,669,OOR,2002
Randy Brown,PG,33,1,6,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0,0,0,2,0,1,0,1,0,OOR,2002
Tierre Brown,SG,22,40,403,49,115,0.426,4,12,0.333,45,103,0.437,0.443,21,28,0.75,12,30,42,70,19,3,40,26,123,OOR,2002
Rick Brunson,PG,29,59,520,45,113,0.398,6,11,0.545,39,102,0.382,0.425,29,41,0.707,23,45,68,114,25,2,47,51,125,OOR,2002
Kobe Bryant,SG,23,80,3063,749,1597,0.469,33,132,0.25,716,1465,0.489,0.479,488,589,0.829,112,329,441,438,118,35,223,228,2019,Candidate,2002
Mark Bryant,PF,36,30,206,25,55,0.455,0,0,0.0,25,55,0.455,0.455,6,8,0.75,25,19,44,10,7,2,6,38,56,OOR,2002
Greg Buckner,SG,25,44,885,104,198,0.525,5,16,0.313,99,182,0.544,0.538,40,58,0.69,67,106,173,48,31,19,27,124,253,OOR,2002
Jud Buechler,SF,33,66,684,44,118,0.373,21,60,0.35,23,58,0.397,0.462,2,4,0.5,29,87,116,32,21,8,15,53,111,OOR,2002
Rodney Buford,SG,24,63,1769,258,593,0.435,17,70,0.243,241,523,0.461,0.449,58,80,0.725,52,220,272,71,42,12,63,110,591,OOR,2002
Matt Bullard,PF,34,31,350,39,115,0.339,16,57,0.281,23,58,0.397,0.409,11,12,0.917,10,37,47,16,2,2,12,29,105,OOR,2002
Mitchell Butler,SG,31,11,90,10,23,0.435,1,3,0.333,9,20,0.45,0.457,8,12,0.667,6,8,14,5,0,1,5,10,29,OOR,2002
Jason Caffey,PF,28,23,283,36,72,0.5,0,1,0.0,36,71,0.507,0.5,27,43,0.628,24,26,50,12,4,5,19,39,99,OOR,2002
