Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status
Corey Beck,PG,27.0,24.0,180.0,18.0,39.0,0.462,1.0,1.0,1.0,17.0,38.0,0.447,0.474,8.0,15.0,0.533,6.0,22.0,28.0,20.0,9.0,2.0,13.0,26.0,45.0,OOR
Benoit Benjamin,C,34.0,6.0,33.0,2.0,7.0,0.286,0.0,0.0,0.0,2.0,7.0,0.286,0.286,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,3.0,6.0,4.0,OOR
Corey Benjamin,PG,20.0,31.0,320.0,44.0,117.0,0.376,3.0,14.0,0.214,41.0,103.0,0.398,0.389,27.0,40.0,0.675,15.0,25.0,40.0,10.0,11.0,8.0,21.0,46.0,118.0,OOR
Mario Bennett,PF,25.0,3.0,19.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,6.0,0.333,0.333,3.0,4.0,0.75,2.0,3.0,5.0,0.0,1.0,0.0,1.0,4.0,7.0,OOR
Travis Best,PG,26.0,49.0,1043.0,127.0,305.0,0.416,22.0,59.0,0.373,105.0,246.0,0.427,0.452,70.0,83.0,0.843,19.0,61.0,80.0,169.0,42.0,4.0,62.0,111.0,346.0,OOR
Mike Bibby,PG,20.0,50.0,1758.0,260.0,605.0,0.43,15.0,74.0,0.203,245.0,531.0,0.461,0.442,127.0,169.0,0.751,30.0,106.0,136.0,325.0,78.0,5.0,146.0,122.0,662.0,OOR
Chauncey Billups,SG,22.0,45.0,1488.0,191.0,495.0,0.386,85.0,235.0,0.362,106.0,260.0,0.408,0.472,157.0,172.0,0.913,24.0,72.0,96.0,173.0,58.0,14.0,98.0,115.0,624.0,OOR
Mookie Blaylock,PG,31.0,48.0,1763.0,247.0,651.0,0.379,77.0,251.0,0.307,170.0,400.0,0.425,0.439,69.0,91.0,0.758,45.0,179.0,224.0,278.0,99.0,9.0,115.0,61.0,640.0,OOR
Corie Blount,PF,30.0,34.0,530.0,36.0,100.0,0.36,0.0,1.0,0.0,36.0,99.0,0.364,0.36,28.0,54.0,0.519,58.0,93.0,151.0,12.0,19.0,16.0,21.0,74.0,100.0,OOR
Muggsy Bogues,PG,34.0,36.0,714.0,76.0,154.0,0.494,0.0,6.0,0.0,76.0,148.0,0.514,0.494,31.0,36.0,0.861,16.0,57.0,73.0,134.0,43.0,1.0,47.0,44.0,183.0,OOR
Etdrick Bohannon,SF,25.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OOR
Keith Booth,SF,24.0,39.0,432.0,49.0,151.0,0.325,1.0,10.0,0.1,48.0,141.0,0.34,0.328,21.0,42.0,0.5,25.0,68.0,93.0,38.0,22.0,11.0,39.0,60.0,120.0,OOR
Bruce Bowen,SF,27.0,30.0,494.0,26.0,93.0,0.28,7.0,26.0,0.269,19.0,67.0,0.284,0.317,11.0,24.0,0.458,15.0,37.0,52.0,28.0,21.0,9.0,13.0,51.0,70.0,OOR
Earl Boykins,PG,22.0,22.0,221.0,30.0,79.0,0.38,3.0,18.0,0.167,27.0,61.0,0.443,0.399,2.0,3.0,0.667,7.0,10.0,17.0,33.0,6.0,0.0,20.0,20.0,65.0,OOR
Shawn Bradley,C,26.0,49.0,1294.0,167.0,348.0,0.48,0.0,4.0,0.0,167.0,344.0,0.485,0.48,86.0,115.0,0.748,130.0,262.0,392.0,40.0,35.0,159.0,56.0,153.0,420.0,OOR
Terrell Brandon,PG,28.0,36.0,1217.0,212.0,507.0,0.418,12.0,47.0,0.255,200.0,460.0,0.435,0.43,65.0,78.0,0.833,27.0,107.0,134.0,309.0,63.0,10.0,74.0,82.0,501.0,OOR
Chucky Brown,PF,30.0,48.0,1192.0,176.0,373.0,0.472,15.0,40.0,0.375,161.0,333.0,0.483,0.492,40.0,59.0,0.678,36.0,138.0,174.0,57.0,16.0,19.0,38.0,106.0,407.0,OOR
Dee Brown,PG,30.0,49.0,1377.0,187.0,495.0,0.378,135.0,349.0,0.387,52.0,146.0,0.356,0.514,40.0,55.0,0.727,15.0,88.0,103.0,143.0,56.0,8.0,80.0,75.0,549.0,OOR
Gerald Brown,SG,23.0,33.0,236.0,33.0,89.0,0.371,3.0,10.0,0.3,30.0,79.0,0.38,0.388,11.0,14.0,0.786,5.0,17.0,22.0,31.0,5.0,1.0,22.0,21.0,80.0,OOR
P.J. Brown,PF,29.0,50.0,1611.0,229.0,477.0,0.48,0.0,0.0,0.0,229.0,477.0,0.48,0.48,113.0,146.0,0.774,115.0,231.0,346.0,66.0,46.0,48.0,69.0,166.0,571.0,OOR
Randy Brown,PG,30.0,39.0,1139.0,132.0,319.0,0.414,0.0,10.0,0.0,132.0,309.0,0.427,0.414,78.0,103.0,0.757,27.0,105.0,132.0,149.0,68.0,8.0,80.0,93.0,342.0,OOR
Rick Brunson,PG,26.0,17.0,95.0,6.0,21.0,0.286,0.0,5.0,0.0,6.0,16.0,0.375,0.286,5.0,18.0,0.278,3.0,7.0,10.0,19.0,9.0,0.0,12.0,8.0,17.0,OOR
Kobe Bryant,SG,20.0,50.0,1896.0,362.0,779.0,0.465,27.0,101.0,0.267,335.0,678.0,0.494,0.482,245.0,292.0,0.839,53.0,211.0,264.0,190.0,72.0,50.0,157.0,153.0,996.0,OOR
Mark Bryant,PF,33.0,45.0,1204.0,168.0,348.0,0.483,0.0,1.0,0.0,168.0,347.0,0.484,0.483,71.0,110.0,0.645,92.0,140.0,232.0,48.0,34.0,16.0,68.0,149.0,407.0,OOR
Jud Buechler,SF,30.0,50.0,1056.0,100.0,240.0,0.417,61.0,148.0,0.412,39.0,92.0,0.424,0.544,13.0,18.0,0.722,29.0,104.0,133.0,57.0,37.0,13.0,21.0,83.0,274.0,OOR
Matt Bullard,PF,31.0,41.0,413.0,43.0,114.0,0.377,24.0,62.0,0.387,19.0,52.0,0.365,0.482,7.0,10.0,0.7,9.0,33.0,42.0,18.0,13.0,4.0,14.0,28.0,117.0,OOR
Scott Burrell,SF,28.0,32.0,706.0,75.0,208.0,0.361,28.0,72.0,0.389,47.0,136.0,0.346,0.428,34.0,42.0,0.81,32.0,87.0,119.0,45.0,40.0,11.0,23.0,82.0,212.0,OOR
Willie Burton,SF,30.0,3.0,18.0,1.0,7.0,0.143,0.0,1.0,0.0,1.0,6.0,0.167,0.143,2.0,4.0,0.5,4.0,2.0,6.0,0.0,0.0,0.0,1.0,2.0,4.0,OOR
Mitchell Butler,SG,28.0,31.0,418.0,67.0,139.0,0.482,11.0,29.0,0.379,56.0,110.0,0.509,0.522,23.0,32.0,0.719,13.0,31.0,44.0,22.0,15.0,4.0,29.0,41.0,168.0,OOR
Jason Caffey,PF,25.0,35.0,876.0,123.0,277.0,0.444,0.0,1.0,0.0,123.0,276.0,0.446,0.444,62.0,98.0,0.633,79.0,126.0,205.0,18.0,24.0,9.0,75.0,113.0,308.0,OOR
Marcus Camby,C,24.0,46.0,945.0,136.0,261.0,0.521,0.0,0.0,0.0,136.0,261.0,0.521,0.521,57.0,103.0,0.553,102.0,151.0,253.0,12.0,29.0,74.0,39.0,131.0,329.0,OOR
Elden Campbell,C,30.0,49.0,1459.0,222.0,465.0,0.477,0.0,1.0,0.0,222.0,464.0,0.478,0.477,172.0,269.0,0.639,126.0,271.0,397.0,69.0,39.0,73.0,80.0,159.0,616.0,OOR
Antoine Carr,PF,37.0,18.0,152.0,21.0,52.0,0.404,0.0,1.0,0.0,21.0,51.0,0.412,0.404,5.0,7.0,0.714,9.0,22.0,31.0,9.0,1.0,10.0,9.0,31.0,47.0,OOR
Chris Carr,SG,24.0,39.0,445.0,76.0,205.0,0.371,28.0,75.0,0.373,48.0,130.0,0.369,0.439,27.0,40.0,0.675,23.0,48.0,71.0,23.0,8.0,2.0,28.0,45.0,207.0,OOR
Cory Carr,SG,23.0,42.0,624.0,71.0,216.0,0.329,5.0,30.0,0.167,66.0,186.0,0.355,0.34,24.0,32.0,0.75,8.0,41.0,49.0,66.0,21.0,7.0,46.0,66.0,171.0,OOR
Vince Carter,SF,22.0,50.0,1760.0,345.0,766.0,0.45,19.0,66.0,0.288,326.0,700.0,0.466,0.463,204.0,268.0,0.761,94.0,189.0,283.0,149.0,55.0,77.0,110.0,140.0,913.0,OOR
Sam Cassell,PG,29.0,8.0,199.0,39.0,93.0,0.419,2.0,10.0,0.2,37.0,83.0,0.446,0.43,47.0,50.0,0.94,5.0,10.0,15.0,36.0,9.0,0.0,20.0,22.0,127.0,OOR
Kelvin Cato,C,24.0,43.0,545.0,58.0,129.0,0.45,1.0,1.0,1.0,57.0,128.0,0.445,0.453,34.0,67.0,0.507,49.0,101.0,150.0,19.0,23.0,56.0,27.0,100.0,151.0,OOR
