Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W
Iman Shumpert,PG,21,NYK,59,1705,214,534,0.401,48,157,0.306,166,377,0.44,0.446,87,109,0.798,42,144,186,164,101,8,111,173,563,10.8,0.484,0.294,0.204,2.8,9.9,6.3,15.6,3.1,0.4,16.0,18.2,-0.1,2.5,2.4,0.068,-3.0,1.6,-1.4,0.2,0,0.0,OOR,2012,36
Xavier Silas,SG,24,PHI,2,39,4,15,0.267,1,6,0.167,3,9,0.333,0.3,2,3,0.667,2,2,4,3,0,0,3,5,11,0.1,0.337,0.4,0.2,5.7,5.7,5.7,11.4,0.0,0.0,15.5,23.3,-0.1,0.0,-0.1,-0.131,-10.4,-4.2,-14.7,-0.1,0,0.0,OOR,2012,35
Bobby Simmons,SF,31,LAC,28,418,28,90,0.311,20,60,0.333,8,30,0.267,0.422,4,7,0.571,17,38,55,11,15,3,10,41,80,6.0,0.43,0.667,0.078,4.8,10.9,7.8,3.8,1.9,0.6,9.7,11.4,0.0,0.3,0.3,0.029,-3.3,-0.3,-3.6,-0.2,0,0.0,OOR,2012,40
Chris Singleton,SF,22,WAS,66,1431,116,312,0.372,44,127,0.346,72,185,0.389,0.442,30,44,0.682,43,190,233,49,70,30,38,176,306,8.3,0.462,0.407,0.141,3.4,15.1,9.2,5.0,2.5,1.6,10.3,11.5,0.1,1.5,1.5,0.052,-3.5,1.2,-2.2,-0.1,0,0.0,OOR,2012,20
James Singleton,PF,30,WAS,12,262,41,75,0.547,2,9,0.222,39,66,0.591,0.56,14,15,0.933,25,56,81,15,9,8,10,27,98,19.6,0.6,0.12,0.2,10.7,24.3,17.4,9.5,1.8,2.3,10.9,15.6,0.7,0.3,1.0,0.186,1.2,0.5,1.7,0.2,0,0.0,OOR,2012,20
Brian Skinner,C,35,MEM,1,4,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,-0.248,-12.5,-3.0,-15.5,0.0,0,0.0,OOR,2012,41
Donald Sloan,PG,24,CLE,33,669,79,198,0.399,2,25,0.08,77,173,0.445,0.404,23,30,0.767,18,49,67,105,13,3,49,37,183,8.9,0.433,0.126,0.152,3.0,8.6,5.7,26.5,1.0,0.3,18.8,17.6,-0.4,0.1,-0.3,-0.024,-3.3,-2.1,-5.3,-0.6,0,0.0,OOR,2012,21
Craig Smith,PF,28,POR,47,464,59,117,0.504,0,1,0.0,59,116,0.509,0.504,38,53,0.717,33,77,110,19,16,5,24,55,156,13.6,0.556,0.009,0.453,8.1,19.8,13.8,6.6,1.8,0.8,14.6,16.2,0.6,0.4,1.0,0.105,-1.8,0.3,-1.5,0.1,0,0.0,OOR,2012,28
Greg Smith,C,21,HOU,8,69,7,11,0.636,0,0,0.0,7,11,0.636,0.636,0,0,0.0,5,15,20,1,2,5,1,17,14,12.3,0.636,0.0,0.0,8.3,25.5,16.8,2.2,1.5,5.4,8.3,7.9,0.1,0.1,0.2,0.165,-4.2,3.4,-0.8,0.0,0,0.0,OOR,2012,34
Ish Smith,PG,23,ORL,26,234,31,81,0.383,3,9,0.333,28,72,0.389,0.401,7,10,0.7,7,28,35,41,15,2,13,15,72,14.1,0.422,0.111,0.123,3.4,13.9,8.6,29.2,3.4,0.7,13.2,19.6,0.0,0.3,0.3,0.062,-1.9,2.0,0.1,0.1,0,0.0,OOR,2012,37
