Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season
Alvin Robertson,SG,24,81,2697,589,1264,0.466,13,48,0.271,576,1216,0.474,0.471,244,324,0.753,186,238,424,421,260,35,243,264,1435,18.5,0.51,0.038,0.256,7.3,10.1,8.7,23.2,4.6,0.7,14.7,24.5,1.8,3.4,5.3,0.094,0.9,2.1,3.0,3.4,0,0.0,OOR,1987
Cliff Robinson,PF,26,55,1586,338,729,0.464,0,4,0.0,338,725,0.466,0.464,139,184,0.755,86,221,307,89,86,30,123,150,815,15.1,0.503,0.005,0.252,6.4,15.6,11.1,9.0,2.7,1.1,13.2,24.7,0.1,2.0,2.1,0.064,-1.3,-0.2,-1.5,0.2,0,0.0,OOR,1987
Dennis Rodman,SF,25,77,1155,213,391,0.545,0,1,0.0,213,390,0.546,0.545,74,126,0.587,163,169,332,56,38,48,93,166,500,15.5,0.56,0.003,0.322,15.6,15.3,15.5,6.8,1.6,2.4,17.2,18.9,1.1,1.7,2.9,0.12,-0.2,0.7,0.5,0.7,0,0.0,OOR,1987
Johnny Rogers,PF,23,45,468,90,185,0.486,0,5,0.0,90,180,0.5,0.486,9,15,0.6,30,47,77,26,9,8,20,66,189,10.5,0.493,0.027,0.081,7.0,11.0,9.0,8.0,0.9,1.0,9.5,18.1,0.2,0.2,0.4,0.041,-2.7,-1.5,-4.2,-0.3,0,0.0,OOR,1987
Tree Rollins,C,31,75,1764,171,313,0.546,0,0,0.0,171,313,0.546,0.546,63,87,0.724,155,333,488,22,43,140,61,240,405,12.0,0.576,0.0,0.278,9.6,20.3,15.0,1.6,1.2,4.8,14.8,9.6,1.7,3.2,4.9,0.134,-1.3,2.4,1.0,1.4,0,0.0,OOR,1987
Dan Roundfield,PF,33,36,669,90,220,0.409,1,5,0.2,89,215,0.414,0.411,57,72,0.792,64,106,170,39,11,16,49,77,238,10.6,0.473,0.023,0.327,10.0,17.1,13.5,8.1,0.8,1.3,16.3,18.1,-0.1,0.7,0.6,0.042,-2.5,-0.8,-3.2,-0.2,0,0.0,OOR,1987
Ron Rowan,SG,24,7,16,4,9,0.444,1,1,1.0,3,8,0.375,0.5,3,4,0.75,1,0,1,1,4,0,3,1,12,22.2,0.558,0.111,0.444,7.2,0.0,3.5,9.3,11.4,0.0,21.8,33.8,0.0,0.0,0.0,0.084,1.3,7.2,8.5,0.0,0,0.0,OOR,1987
Jeff Ruland,PF,28,5,116,19,28,0.679,0,0,0.0,19,28,0.679,0.679,9,12,0.75,12,16,28,10,0,4,10,13,47,16.1,0.706,0.0,0.429,12.2,15.5,13.9,12.8,0.0,2.0,23.1,15.7,0.2,0.1,0.3,0.132,1.8,-0.1,1.7,0.1,0,0.0,OOR,1987
Walker Russell,PG,26,48,511,64,165,0.388,2,16,0.125,62,149,0.416,0.394,27,37,0.73,18,37,55,129,20,5,60,62,157,9.5,0.433,0.097,0.224,3.8,8.1,5.9,34.1,1.9,0.6,24.9,19.7,-0.7,0.5,-0.2,-0.018,-2.7,-0.4,-3.1,-0.1,0,0.0,OOR,1987
John Salley,C,22,82,1463,163,290,0.562,0,1,0.0,163,289,0.564,0.562,105,171,0.614,108,188,296,54,44,125,74,256,431,11.9,0.59,0.003,0.59,8.2,13.4,10.9,4.7,1.4,4.9,16.8,12.2,1.4,2.4,3.8,0.124,-2.1,3.0,0.9,1.1,0,0.0,OOR,1987
Ralph Sampson,PF,26,43,1326,277,566,0.489,0,3,0.0,277,563,0.492,0.489,118,189,0.624,88,284,372,120,40,58,126,169,672,15.4,0.518,0.005,0.334,7.4,23.2,15.4,13.6,1.5,2.5,16.3,23.9,-0.2,2.4,2.2,0.078,-1.6,1.2,-0.4,0.5,0,0.0,OOR,1987
