Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Tyler Bey,SF,22,DAL,10,33,7.7,.313,.091,.364,16.9,22.7,19.9,4.0,0.0,2.9,0.0,17.2,,0.0,0.0,0.0,-0.001,,-5.2,-3.9,-9.1,-0.1
Khem Birch,C,28,ORL,48,952,14.2,.517,.100,.407,12.4,14.3,13.3,7.9,1.6,2.8,8.5,12.2,,1.3,1.0,2.3,.115,,-1.6,-0.6,-2.2,0.0
Goga Bitadze,C,21,IND,31,328,18.9,.569,.333,.275,12.9,16.4,14.6,9.7,1.0,8.2,8.2,19.3,,0.6,0.5,1.1,.159,,-0.9,1.0,0.1,0.2
Bismack Biyombo,C,28,CHO,47,1002,11.6,.571,.005,.440,10.2,16.4,13.2,8.5,0.6,5.4,18.2,11.5,,0.8,1.0,1.8,.086,,-3.1,-0.1,-3.2,-0.3
Nemanja Bjelica,PF,32,TOT,31,504,12.1,.548,.415,.263,5.4,19.5,12.4,15.0,1.0,0.3,14.0,18.9,,0.3,0.2,0.5,.046,,-2.0,-1.6,-3.6,-0.2
Nemanja Bjelica,PF,32,SAC,26,439,12.8,.555,.387,.280,5.9,19.4,12.6,15.2,0.9,0.4,14.3,19.2,,0.4,0.1,0.4,.049,,-1.3,-1.7,-3.0,-0.1
Nemanja Bjelica,PF,32,MIA,5,65,7.2,.493,.619,.143,1.8,20.0,11.2,14.0,1.5,0.0,11.8,17.5,,0.0,0.1,0.0,.029,,-7.0,-0.8,-7.9,-0.1
Eric Bledsoe,SG,31,NOP,50,1505,11.4,.534,.500,.239,1.6,11.0,6.3,17.2,1.1,1.0,12.3,18.1,,1.0,0.4,1.4,.044,,-1.1,-1.7,-2.8,-0.3
Keljin Blevins,SF,25,POR,10,51,-5.6,.143,.357,.000,0.0,4.4,2.1,9.8,1.9,0.0,17.6,14.4,,-0.3,0.0,-0.3,-0.241,,-11.8,-3.8,-15.7,-0.2
Bogdan Bogdanović,SG,28,ATL,27,703,15.1,.585,.588,.081,2.2,12.4,7.4,17.0,1.5,0.9,9.0,19.9,,1.1,0.5,1.6,.112,,1.5,0.0,1.6,0.6
Bojan Bogdanović,SF,31,UTA,51,1545,12.4,.567,.531,.263,1.9,11.2,6.7,8.8,0.8,0.2,9.3,20.6,,1.7,1.6,3.3,.102,,-0.3,-1.0,-1.3,0.3
Bol Bol,PF,21,DEN,21,110,12.9,.620,.474,.237,0.0,16.3,8.3,7.5,0.9,7.0,17.7,20.2,,0.0,0.1,0.1,.054,,-1.3,0.5,-0.8,0.0
Marques Bolden,C,22,CLE,6,29,13.4,.537,.000,2.667,11.3,11.8,11.6,0.0,3.4,6.2,23.5,12.8,,0.0,0.0,0.0,.068,,-3.4,0.6,-2.8,0.0
Jordan Bone,PG,23,ORL,14,196,8.9,.519,.593,.000,2.1,11.0,6.4,13.4,0.5,0.0,5.3,12.6,,0.1,0.1,0.2,.053,,-2.6,-1.6,-4.2,-0.1
Isaac Bonga,SF,21,WAS,31,357,4.4,.472,.587,.095,5.0,12.5,8.7,6.7,1.0,1.6,20.6,9.6,,-0.2,0.2,0.0,.002,,-5.3,-1.1,-6.4,-0.4
Devin Booker,SG,24,PHO,46,1569,19.7,.598,.304,.291,1.2,12.0,6.7,21.9,1.3,0.6,13.1,32.7,,2.1,1.7,3.8,.117,,1.7,-1.0,0.7,1.1
Chris Boucher,C,28,TOR,51,1189,22.2,.635,.416,.351,8.3,21.8,14.8,6.9,1.2,8.4,6.5,20.7,,3.3,1.8,5.1,.205,,2.8,0.4,3.2,1.6
Brian Bowen,SF,22,IND,4,11,4.0,.436,.000,.333,0.0,20.4,10.1,0.0,0.0,0.0,0.0,13.5,,0.0,0.0,0.0,-0.005,,-7.3,-3.5,-10.8,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,SG,30,TOT,16,346,8.5,.540,.568,.099,1.3,9.2,5.2,12.1,1.3,0.6,10.8,16.5,,0.0,0.3,0.3,.038,,-3.7,-0.8,-4.6,-0.2
Avery Bradley,SG,30,MIA,10,211,10.4,.607,.576,.136,1.1,8.2,4.8,10.2,1.6,0.5,11.4,16.8,,0.1,0.2,0.3,.077,,-2.7,-0.6,-3.2,-0.1
Avery Bradley,SG,30,HOU,6,135,5.5,.436,.556,.044,1.5,10.7,5.9,15.1,0.7,0.7,9.8,16.1,,-0.1,0.1,-0.1,-0.023,,-5.4,-1.2,-6.6,-0.2
Tony Bradley,C,23,TOT,26,410,20.3,.682,.027,.196,13.8,24.7,19.3,8.5,1.1,3.7,11.6,14.4,,1.2,0.7,1.8,.211,,1.1,0.7,1.8,0.4
Tony Bradley,C,23,PHI,20,287,21.1,.683,.013,.147,15.4,24.3,20.0,8.7,1.0,4.0,7.0,12.8,,1.0,0.5,1.5,.243,,2.1,1.0,3.1,0.4
Tony Bradley,C,23,OKC,6,123,18.4,.681,.054,.297,10.2,25.5,17.9,8.0,1.2,2.9,19.3,18.2,,0.2,0.2,0.3,.136,,-1.2,-0.1,-1.3,0.0
Jarrell Brantley,PF,24,UTA,16,55,17.1,.565,.609,.087,6.0,18.5,12.5,10.8,2.7,1.4,4.0,19.4,,0.1,0.1,0.2,.194,,-0.2,2.1,1.9,0.1
Ignas Brazdeikis,SF,22,TOT,5,15,-1.1,.205,.250,.500,7.2,21.5,14.5,8.3,0.0,0.0,17.0,17.0,,-0.1,0.0,0.0,-0.157,,-11.5,-3.1,-14.6,0.0
Ignas Brazdeikis,SF,22,NYK,4,7,11.3,.532,.000,2.000,15.4,15.3,15.4,17.7,0.0,0.0,34.7,18.2,,0.0,0.0,0.0,.035,,-2.9,-1.9,-4.8,0.0
Ignas Brazdeikis,F,22,PHI,1,8,-12.0,.000,.333,.000,0.0,26.8,13.8,0.0,0.0,0.0,0.0,16.0,,-0.1,0.0,-0.1,-0.326,,-18.9,-4.2,-23.2,0.0
Mikal Bridges,SF,24,PHO,50,1607,16.2,.649,.456,.207,4.2,11.9,8.2,9.6,1.4,2.5,7.7,15.2,,3.5,2.0,5.6,.166,,1.9,0.8,2.8,1.9
