Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Holiday,PG,24,IND,42,6,740,105,284,.370,40,121,.331,65,163,.399,.440,34,45,.756,8,42,50,71,26,5,32,68,284
Jrue Holiday,PG,30,MIL,34,31,1063,215,438,.491,60,158,.380,155,280,.554,.559,50,62,.806,41,110,151,173,59,17,63,58,540
Justin Holiday,SG,31,IND,44,35,1408,172,396,.434,114,290,.393,58,106,.547,.578,48,59,.814,25,140,165,74,54,16,36,90,506
Richaun Holmes,C,27,SAC,42,42,1273,254,394,.645,2,8,.250,252,386,.653,.647,85,104,.817,110,265,375,73,29,70,53,158,595
Rodney Hood,SF,28,TOT,39,5,744,74,203,.365,25,85,.294,49,118,.415,.426,9,12,.750,18,56,74,47,20,4,32,60,182
Rodney Hood,SF,28,POR,38,5,726,73,201,.363,25,84,.298,48,117,.410,.425,9,12,.750,18,55,73,47,20,4,31,59,180
Rodney Hood,G-F,28,TOR,1,0,18,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,1,1,0,0,0,1,1,2
Al Horford,C,34,OKC,28,28,782,162,360,.450,56,152,.368,106,208,.510,.528,18,22,.818,29,159,188,94,25,26,29,48,398
Talen Horton-Tucker,SG,20,LAL,42,1,786,133,298,.446,20,81,.247,113,217,.521,.480,53,64,.828,17,95,112,98,34,20,56,84,339
Danuel House,SF,27,HOU,27,17,755,92,223,.413,45,125,.360,47,98,.480,.513,32,47,.681,18,92,110,54,17,13,25,54,261
Dwight Howard,C,35,PHI,46,4,786,114,200,.570,4,14,.286,110,186,.591,.580,74,135,.548,119,254,373,34,20,43,82,137,306
Markus Howard,SG,21,DEN,21,0,71,9,38,.237,5,27,.185,4,11,.364,.303,1,2,.500,0,7,7,7,2,0,5,10,24
Kevin Huerter,SG,22,ATL,45,33,1413,197,475,.415,94,259,.363,103,216,.477,.514,37,44,.841,31,131,162,160,56,11,57,111,525
Elijah Hughes,SF,22,UTA,9,0,35,6,17,.353,4,12,.333,2,5,.400,.471,3,4,.750,0,6,6,4,1,1,4,0,19
De'Andre Hunter,SF,23,ATL,20,18,625,112,223,.502,31,87,.356,81,136,.596,.572,65,75,.867,16,86,102,42,18,10,27,53,320
Chandler Hutchison,SF,24,CHI,7,0,64,5,18,.278,1,3,.333,4,15,.267,.306,2,2,1.000,1,19,20,4,1,0,5,9,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serge Ibaka,C,31,LAC,39,39,919,176,347,.507,38,108,.352,138,239,.577,.562,37,45,.822,68,193,261,68,9,46,44,74,427
Andre Iguodala,SF,37,MIA,42,2,889,64,166,.386,43,126,.341,21,40,.525,.515,18,29,.621,27,131,158,88,42,19,42,56,189
Ersan İlyasova,F,33,UTA,3,0,11,0,2,.000,0,2,.000,0,0,,.000,0,0,,1,1,2,1,0,0,1,2,0
Joe Ingles,SF,33,UTA,41,11,1096,170,318,.535,111,227,.489,59,91,.648,.709,45,51,.882,18,134,152,177,26,9,61,70,496
Brandon Ingram,SF,23,NOP,45,45,1546,384,807,.476,107,280,.382,277,527,.526,.542,197,223,.883,27,198,225,209,28,32,107,89,1072
Kyrie Irving,PG,28,BRK,31,31,1104,334,642,.520,89,219,.406,245,423,.579,.590,114,128,.891,36,114,150,177,37,18,74,85,871
Wesley Iwundu,SF,26,DAL,23,3,288,17,52,.327,3,23,.130,14,29,.483,.356,12,14,.857,6,38,44,10,9,3,6,26,49
Frank Jackson,PG,22,DET,16,4,200,30,71,.423,16,38,.421,14,33,.424,.535,14,17,.824,4,18,22,12,5,0,13,19,90
Josh Jackson,SG,23,DET,41,6,1008,190,455,.418,46,168,.274,144,287,.502,.468,101,140,.721,39,129,168,86,37,33,89,119,527
Justin Jackson,SF,25,OKC,30,3,491,76,182,.418,29,95,.305,47,87,.540,.497,28,33,.848,12,53,65,46,13,2,29,29,209
Reggie Jackson,SG,30,LAC,44,24,927,149,327,.456,64,153,.418,85,174,.489,.554,42,54,.778,15,101,116,127,25,3,45,83,404
Justin James,SF,24,SAC,22,0,143,17,40,.425,5,16,.313,12,24,.500,.488,5,12,.417,3,8,11,11,3,1,5,9,44
LeBron James,PG,36,LAL,41,41,1388,388,756,.513,98,266,.368,290,490,.592,.578,168,239,.703,24,299,323,323,43,24,152,65,1042
DaQuan Jeffries,SG,23,SAC,16,2,227,24,57,.421,9,28,.321,15,29,.517,.500,6,7,.857,8,18,26,5,7,4,7,23,63
Ty Jerome,SG,23,OKC,13,1,335,48,106,.453,29,66,.439,19,40,.475,.590,2,5,.400,7,34,41,44,10,2,13,26,127
Isaiah Joe,SG,21,PHI,23,1,255,31,86,.360,24,66,.364,7,20,.350,.500,5,5,1.000,6,20,26,15,7,4,5,22,91
Alize Johnson,F,24,BRK,1,0,33,11,15,.733,0,1,.000,11,14,.786,.733,1,1,1.000,5,10,15,3,2,0,1,1,23
Cameron Johnson,PF,24,PHO,38,9,894,135,305,.443,79,206,.383,56,99,.566,.572,32,37,.865,21,105,126,52,23,13,27,53,381
James Johnson,PF,33,DAL,29,1,504,67,145,.462,15,60,.250,52,85,.612,.514,17,29,.586,14,72,86,50,24,23,27,59,166
Keldon Johnson,SF,21,SAS,40,38,1161,204,429,.476,36,109,.330,168,320,.525,.517,94,122,.770,64,193,257,77,24,22,47,90,538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Johnson,PF,24,TOR,39,6,544,38,102,.373,24,67,.358,14,35,.400,.490,11,14,.786,18,65,83,44,27,10,25,66,111
Tyler Johnson,SG,28,BRK,27,2,439,49,123,.398,32,85,.376,17,38,.447,.528,16,19,.842,4,46,50,27,10,0,8,28,146
Nikola Jokić,C,25,DEN,45,45,1612,482,845,.570,70,164,.427,412,681,.605,.612,189,217,.871,131,370,501,385,72,28,137,125,1223
Damian Jones,C,25,TOT,22,6,206,24,33,.727,0,1,.000,24,32,.750,.727,17,23,.739,15,29,44,5,2,12,11,41,65
Damian Jones,C,25,PHO,14,0,94,8,16,.500,0,1,.000,8,15,.533,.500,6,11,.545,7,11,18,4,1,5,6,19,22
Damian Jones,C,25,LAL,8,6,112,16,17,.941,0,0,,16,17,.941,.941,11,12,.917,8,18,26,1,1,7,5,22,43
Derrick Jones Jr.,SF,23,POR,41,40,1079,120,247,.486,37,112,.330,83,135,.615,.561,48,74,.649,66,110,176,38,31,43,26,100,325
Mason Jones,SG,22,HOU,26,1,307,47,114,.412,23,64,.359,24,50,.480,.513,35,57,.614,4,47,51,39,6,1,28,22,152
Tre Jones,PG,21,SAS,20,0,88,15,30,.500,1,1,1.000,14,29,.483,.517,5,5,1.000,5,4,9,9,2,0,7,5,36
Tyus Jones,PG,24,MEM,43,8,849,128,295,.434,28,98,.286,100,197,.508,.481,24,27,.889,15,80,95,175,48,4,35,20,308
DeAndre Jordan,C,32,BRK,44,34,998,150,196,.765,0,1,.000,150,195,.769,.765,32,65,.492,90,238,328,74,14,56,68,92,332
Cory Joseph,PG,29,TOT,46,2,991,116,264,.439,31,96,.323,85,168,.506,.498,43,55,.782,26,81,107,114,41,9,48,101,306
Cory Joseph,PG,29,SAC,44,2,944,111,250,.444,31,94,.330,80,156,.513,.506,36,47,.766,25,74,99,108,39,9,44,98,289
Cory Joseph,G,29,DET,2,0,47,5,14,.357,0,2,.000,5,12,.417,.357,7,8,.875,1,7,8,6,2,0,4,3,17
Mfiondu Kabengele,PF,23,LAC,23,0,94,9,32,.281,4,18,.222,5,14,.357,.344,5,6,.833,1,13,14,5,2,3,6,18,27
Frank Kaminsky,C,27,PHO,32,13,483,82,174,.471,26,64,.406,56,110,.509,.546,20,33,.606,22,96,118,52,10,13,15,42,210
Enes Kanter,C,28,POR,45,32,1208,232,384,.604,0,1,.000,232,383,.606,.604,89,114,.781,196,335,531,56,25,33,54,116,553
Luke Kennard,SG,24,LAC,41,7,785,120,248,.484,64,135,.474,56,113,.496,.613,14,17,.824,11,98,109,71,14,7,29,57,318
Maxi Kleber,PF,29,DAL,32,26,895,80,177,.452,61,135,.452,19,42,.452,.624,29,31,.935,30,145,175,42,15,27,18,77,250
Nathan Knight,PF,23,ATL,17,0,128,20,45,.444,5,14,.357,15,31,.484,.500,20,22,.909,16,19,35,4,4,6,10,13,65
Kevin Knox,SF,21,NYK,32,0,428,51,130,.392,31,80,.388,20,50,.400,.512,13,16,.813,9,44,53,17,9,6,16,35,146
