Player,Pos,Age,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,First,Share,Status,Season,W/L%
Robert Pack,PG,29,DAL,25,468,75,174,0.431,0,4,0.0,75,170,0.441,0.431,72,88,0.818,9,27,36,81,20,1,49,41,222,17.1,0.522,0.023,0.506,2.1,6.5,4.3,30.7,2.3,0.2,18.7,25.7,0.6,0.2,0.7,0.077,0.8,-1.0,-0.2,0.2,0,0.0,OOR,1999,0.38
Anthony Parker,SG,23,PHI,2,3,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,30.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.274,10.2,2.6,12.7,0.0,0,0.0,OOR,1999,0.56
Cherokee Parks,C,26,VAN,48,1118,118,275,0.429,0,1,0.0,118,274,0.431,0.429,30,55,0.545,75,168,243,36,28,28,49,114,266,9.5,0.445,0.004,0.2,7.8,18.0,12.8,5.7,1.4,1.9,14.1,14.3,-0.2,0.5,0.2,0.01,-3.5,-1.0,-4.5,-0.7,0,0.0,OOR,1999,0.16
Andrae Patterson,PF,23,MIN,35,284,43,97,0.443,0,5,0.0,43,92,0.467,0.443,28,36,0.778,30,35,65,15,19,7,22,62,114,14.5,0.505,0.052,0.371,11.0,14.9,12.8,8.6,3.5,1.9,16.3,20.9,0.2,0.5,0.7,0.114,-3.3,1.4,-1.9,0.0,0,0.0,OOR,1999,0.5
Ruben Patterson,SF,23,LAL,24,144,21,51,0.412,1,6,0.167,20,45,0.444,0.422,22,31,0.71,17,13,30,2,5,3,12,16,65,14.3,0.503,0.118,0.608,14.1,10.3,12.2,2.2,1.8,1.5,15.7,24.0,0.1,0.1,0.2,0.07,-1.5,-2.5,-4.1,-0.1,0,0.0,OOR,1999,0.62
Gary Payton,PG,30,SEA,50,2008,401,923,0.434,83,281,0.295,318,642,0.495,0.479,199,276,0.721,62,182,244,436,109,12,154,115,1084,23.1,0.519,0.304,0.299,3.5,10.6,7.0,41.3,2.9,0.4,12.9,27.1,6.0,1.2,7.2,0.172,5.1,0.0,5.1,3.6,0,0.03,Candidate,1999,0.5
Anthony Peeler,SG,29,MIN,28,810,103,272,0.379,34,114,0.298,69,158,0.437,0.441,30,41,0.732,30,54,84,78,35,6,38,60,270,11.7,0.465,0.419,0.151,3.8,8.1,5.8,15.1,2.3,0.6,11.6,17.8,0.4,0.7,1.1,0.065,-0.9,0.2,-0.7,0.3,0,0.0,OOR,1999,0.5
Will Perdue,C,33,SAS,37,445,38,60,0.633,0,0,0.0,38,60,0.633,0.633,14,26,0.538,33,105,138,18,9,10,22,63,90,11.7,0.63,0.0,0.433,8.9,25.0,17.4,6.4,1.1,1.5,23.5,9.8,0.5,1.0,1.5,0.16,-2.6,1.7,-0.9,0.1,0,0.0,OOR,1999,0.74
Sam Perkins,PF,37,IND,48,789,80,200,0.4,35,90,0.389,45,110,0.409,0.488,43,60,0.717,36,102,138,25,15,14,22,74,238,12.1,0.526,0.45,0.3,5.5,15.1,10.4,5.2,1.1,1.3,8.9,15.1,1.2,0.5,1.7,0.103,0.9,-0.3,0.7,0.5,0,0.0,OOR,1999,0.66
Elliot Perry,PG,29,NJN,35,290,39,103,0.379,10,24,0.417,29,79,0.367,0.427,10,14,0.714,7,27,34,47,20,0,34,25,98,11.5,0.449,0.233,0.136,2.6,10.9,6.6,28.6,3.7,0.0,23.7,22.0,-0.4,0.3,-0.1,-0.011,-3.1,-0.4,-3.4,-0.1,0,0.0,OOR,1999,0.32
